起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点
回归分析,实证分析能力,考察,,,,,
回归分析,软件使用能力,考察,,,,,
总体回归函数,数学推演能力,考察,,,,,
总体回归函数,数据处理能力,考察,,,,,
随机扰动项,逻辑思维能力,考察,,,,,
随机扰动项,实证分析能力,考察,,,,,
样本回归函数,数学推演能力,考察,,,,,
样本回归函数,实证分析能力,考察,,,,,
简单线性回归的基本假定,逻辑思维能力,考察,,,,,
简单线性回归的基本假定,数据处理能力,考察,,,,,
普通最小二乘法,数学推演能力,考察,,,,,
普通最小二乘法,软件使用能力,考察,,,,,
OLS回归线的性质,实证分析能力,考察,,,,,
OLS回归线的性质,数据处理能力,考察,,,,,
最小二乘估计量的统计性质,数学推演能力,考察,,,,,
最小二乘估计量的统计性质,逻辑思维能力,考察,,,,,
最佳线性无偏估计量BLUE,数学推演能力,考察,,,,,
最佳线性无偏估计量BLUE,实证分析能力,考察,,,,,
总变差的分解,实证分析能力,考察,,,,,
总变差的分解,数据处理能力,考察,,,,,
可决系数,数据处理能力,考察,,,,,
可决系数,实证分析能力,考察,,,,,
可决系数与相关系数的关系,数学推演能力,考察,,,,,
可决系数与相关系数的关系,逻辑思维能力,考察,,,,,
OLS估计的分布性质,数学推演能力,考察,,,,,
OLS估计的分布性质,实证分析能力,考察,,,,,
回归系数的假设检验,实证分析能力,考察,,,,,
回归系数的假设检验,数学推演能力,考察,,,,,
回归系数的假设检验和区间估计,软件使用能力,考察,,,,,
回归系数的假设检验和区间估计,实证分析能力,考察,,,,,
回归系数的区间估计,数学推演能力,考察,,,,,
回归系数的区间估计,实证分析能力,考察,,,,,
回归分析结果的报告,数据处理能力,考察,,,,,
回归分析结果的报告,经济理解能力,考察,,,,,
被解释变量平均值预测,实证分析能力,考察,,,,,
被解释变量平均值预测,软件使用能力,考察,,,,,
被解释变量个别值预测,实证分析能力,考察,,,,,
被解释变量个别值预测,数学推演能力,考察,,,,,
被解释变量预测特点,数据处理能力,考察,,,,,
被解释变量预测特点,实证分析能力,考察,,,,,
模型设定,经济理解能力,考察,,,,,
模型设定,软件使用能力,考察,,,,,
估计参数,软件使用能力,考察,,,,,
估计参数,实证分析能力,考察,,,,,
模型检验,实证分析能力,考察,,,,,
模型检验,数据处理能力,考察,,,,,
回归预测,实证分析能力,考察,,,,,
回归预测,软件使用能力,考察,,,,,
